,Unnamed: 0,Unnamed: 0.1,roles,companies,locations,experience,skills,skill index,min_experience,max_experience,avg_experience,labels
739,792,798,Data Scientist: Artificial Intelligence,IBM,'Bengaluru',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
821,878,884,Data Scientist,Intuitor SoftTech Services Pvt. Ltd.,'Bengaluru',5-7 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,7,6.0,0
826,883,889,Data Scientist,Xebia IT Architects,'Bengaluru',8-10 ,"'it skills', 'java', 'python', 'machine learning', 'big data'",-1.0,8,10,9.0,0
861,918,924,Data Scientist,NovoTree Minds Consulting Pvt. Ltd.,'Bangalore',3-6 ,"'it skills', 'java', 'python', 'big data', 'r', 'data scientist'",-1.0,3,6,4.5,0
862,919,925,Data Scientist,Tarento Technologies Pvt Ltd,'Bengaluru',6-10 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,6,10,8.0,0
898,958,964,Data Scientist,Braintosoul Consulting,'Bengaluru',3-6 ,"'it skills', 'big data'",-1.0,3,6,4.5,0
946,1019,1025,Principal & Sr.Data Scientist -4 To 12 yrs -Fintech/Credit Exp- python,BELL CURVE STRATEGIC CONSULTANCY PRIVATE LIMITED,"'Chennai', 'Bangalore'",5-10 ,"'machine learning', 'python', 'it skills', 'big data'",-1.0,5,10,7.5,0
959,1034,1040,Data Scientist,Seven Consultancy,'Noida',2-5 ,"'java', 'python', 'it skills'",-1.0,2,5,3.5,0
960,1037,1043,Data Scientist,Ank Aha Private Limited,'Delhi',2-7 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,2,7,4.5,0
984,1065,1071,Principal Data Scientist (Big Data) – Spark/ Hadoop,Hire Resources,'Bangalore',5-10 ,"'it skills', 'python', 'machine learning', 'big data'",-1.0,5,10,7.5,0
1000,1082,1088,Data Scientist,Adecco India Private Limited,'Bangalore',3-6 ,"'machine learning', 'python', 'r', 'big data', 'it skills'",-1.0,3,6,4.5,0
1001,1084,1090,Data Scientist: Artificial Intelligence,IBM,'Hyderabad',4-7 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,4,7,5.5,0
1002,1085,1091,Data Scientist: Artificial Intelligence,IBM,'Hyderabad',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
1005,1089,1095,Data Scientist: Artificial Intelligence,IBM,'Mumbai',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
1009,1093,1099,Data Scientist: Artificial Intelligence,IBM,'Kolkata',2-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,2,6,4.0,0
1012,1096,1102,Junior Data Scientist,Blackstraw,'Chennai',1-4 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,1,4,2.5,0
1075,1162,1168,Data Scientist,Click2Cloud Technology Services (I) Pvt. Ltd.,"'Nagpur', 'Hyderabad'",5-7 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'big data'",-1.0,5,7,6.0,0
1089,1176,1182,Data Scientist,Boppo Technologies Pvt. Ltd.,'Mumbai',1-3 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,1,3,2.0,0
1105,1193,1199,Data Scientist,Infobizzs Services,'Vadodara',2-5 ,"'it skills', 'java', 'python', 'computer science', 'machine learning'",-1.0,2,5,3.5,0
1134,1223,1229,Data Scientist,Scalable Systems,'bhubaneswar',4-7 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,4,7,5.5,0
1143,1235,1241,Data Scientist - Healthcare,Clovity,'Remote',8-13 ,"'big data', 'machine learning', 'it skills'",-1.0,8,13,10.5,0
1159,1253,1259,Data Scientist,Sybrant Data,'Chennai',2-4 ,"'machine learning', 'java', 'python', 'it skills'",-1.0,2,4,3.0,0
1168,1263,1269,Data Scientist,FogHorn,'Pune',4-8 ,"'it skills', 'java', 'python'",-1.0,4,8,6.0,0
1208,1309,1315,Data Scientist Lead/Manager - Python/Golang,RS Consultants,'Pune',8-13 ,"'python', 'it skills', 'java', 'data science', 'machine learning', 'big data'",-1.0,8,13,10.5,0
1223,1324,1330,Senior Data & Applied Scientist,Microsoft,'Bangalore',5-8 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,8,6.5,0
1245,1348,1354,Data Scientist,ANALYTICS SAVES AT WORK INDIA PRIVATE LIMITED,"'Hyderabad', ' Chennai', 'Bangalore'",3-8 ,"'machine learning', 'python', 'it skills', 'java', 'data science', 'big data'",-1.0,3,8,5.5,0
1247,1350,1356,Data Scientist,ScaleIn,'Bengaluru',4-9 ,"'it skills', 'java', 'python'",-1.0,4,9,6.5,0
1248,1351,1357,Data Scientist,Pega,'Bengaluru',6-11 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,6,11,8.5,0
1264,1369,1375,Data Scientist,ITOrizon,'Bangalore',2-4 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,2,4,3.0,0
1274,1380,1386,Data Scientist,Fospe Software Pvt. Ltd,'Bengaluru',4-6 ,"'it skills', 'java', 'python', 'machine learning', 'computer science'",-1.0,4,6,5.0,0
1280,1388,1394,Data Scientist,AgreeYa,'Bengaluru',4-8 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,4,8,6.0,0
1283,1391,1397,Role 1 : Data Scientist,Number Theory Software,'Gurgaon',2-7 ,"'it skills', 'java', 'python', 'machine learning', 'big data'",-1.0,2,7,4.5,0
1290,1399,1405,Senior Data & Applied Scientist,Microsoft,'Hyderabad',5-8 ,"'it skills', 'machine learning', 'big data', 'computer science'",-1.0,5,8,6.5,0
1292,1401,1407,Senior Data and Applied Scientist,Microsoft,'Hyderabad',8-13 ,"'it skills', 'java', 'big data', 'computer science', 'data science'",-1.0,8,13,10.5,0
1296,1405,1411,Data Scientist,Orris Info Lab Private Limited,'Chennai',4-8 ,"'java', 'python', 'it skills', 'machine learning', 'big data', 'r'",-1.0,4,8,6.0,0
1297,1406,1412,Data Scientist,Orris Info Lab Private Limited,'Chennai',4-8 ,"'java', 'python', 'r', 'big data', 'machine learning'",-1.0,4,8,6.0,0
1308,1417,1423,Data Scientist,Scienaptic Systems,'Bangalore',2-5 ,"'it skills', 'machine learning', 'artificial intelligence', 'big data'",-1.0,2,5,3.5,0
1318,1431,1437,Data Scientist,Mindcurv TSPL,'Kochi',3-6 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'big data'",-1.0,3,6,4.5,0
1334,1453,1459,Data Scientist,Cove Venture,"'Mumbai', 'Guntur'",2-5 ,"'machine learning', 'java', 'python', 'it skills', 'computer science'",-1.0,2,5,3.5,0
1339,1458,1464,Data & Applied Scientist 2,Microsoft,'Bangalore',5-9 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,9,7.0,0
1343,1463,1469,Data Scientist,Newzera,'Indore',3-7 ,"'it skills', 'java', 'python', 'machine learning', 'artificial intelligence'",-1.0,3,7,5.0,0
1373,1496,1502,Data & Applied Scientist,Microsoft,'Hyderabad',3-7 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,3,7,5.0,0
1375,1498,1504,Data & Applied Scientist,Microsoft,'Hyderabad',1-2 ,"'it skills', 'java', 'computer science'",-1.0,1,2,1.5,0
1388,1512,1518,Data Scientist,Arminus Software Pvt. Ltd,'Trivandrum',2-7 ,"'it skills', 'java', 'python', 'machine learning', 'computer science'",-1.0,2,7,4.5,0
1393,1519,1525,Data Scientist,Excellence Recruitment Private Limited,"'Panaji', 'Bangalore'",5-9 ,"'java', 'r', 'python', 'it skills'",-1.0,5,9,7.0,0
1404,1531,1537,Data Scientist-MNC-Bhayander,PES HR Services a div of AMAL INFOSYSTEMS Pvt Ltd,"'Mumbai (All Areas)', 'MiraRoad'",3-4 ,"'it skills', 'machine learning', 'java'",-1.0,3,4,3.5,0
1406,1533,1539,Data Scientist,Ideas2IT,'Chennai',3-8 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'big data'",-1.0,3,8,5.5,0
1424,1553,1559,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"'it skills', 'python', 'machine learning', 'big data'",-1.0,2,6,4.0,0
1428,1557,1563,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"'r', 'python', 'it skills', 'machine learning', 'big data'",1.0,5,10,7.5,0
1441,1573,1579,Data Scientist/Senior Scientist - Python/Spark/Hadoop,Connexions,'Gurgaon',2-6 ,"'it skills', 'python', 'machine learning', 'big data'",-1.0,2,6,4.0,0
1445,1577,1583,Data Scientist,TRH Consultancy Services,"'Kolkata', ' Mumbai', ' Nagpur', ' Hyderabad', ' Pune', ' Chennai', ' Coimbatore', ' Bangalore', 'Delhi'",5-10 ,"'r', 'python', 'it skills', 'machine learning', 'big data'",1.0,5,10,7.5,0
1457,1592,1598,Data Scientist - R/Python,Serving Skill,'Noida',1-5 ,"'r', 'python', 'it skills', 'java', 'machine learning'",1.0,1,5,3.0,0
1468,1604,1610,Data Scientist - Immediate Joiners only,MLAI Digital,"'Bangalore', 'Delhi'",3-6 ,"'big data', 'it skills', 'python'",-1.0,3,6,4.5,0
1469,1605,1611,Data Scientist,NAVIKENZ INDIA PRIVATE LIMITED,"'Hyderabad', ' Bangalore', 'Delhi'",2-5 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,2,5,3.5,0
1500,1637,1643,Associate Professional - Data Scientist / Analytics,Sutherland Global Services Inc,'Hyderabad',4-8 ,"'it skills', 'big data'",-1.0,4,8,6.0,0
1504,1641,1647,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'data science'",-1.0,8,12,10.0,0
1505,1642,1648,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'data science'",-1.0,8,12,10.0,0
1579,1719,1725,Data Scientist: Artificial Intelligence,IBM,'Bangalore',4-8 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,4,8,6.0,0
1602,1746,1752,Senior Data Scientist,Walmart,'Bangalore',5-9 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,9,7.0,0
1622,1766,1772,Data Scientist: Artificial Intelligence,IBM,'Mumbai',2-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,2,6,4.0,0
1645,1791,1797,Data Scientist: Artificial Intelligence,IBM,'Bangalore',2-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,2,6,4.0,0
1650,1796,1802,Data Scientist: Artificial Intelligence,IBM,'Bangalore',1-2 ,"'it skills', 'java', 'python'",-1.0,1,2,1.5,0
1700,1850,1856,Lead Data Scientist,DataTrained,"'Noida', 'Bengaluru'",2-4 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,2,4,3.0,0
1718,1870,1876,Data Scientist,ARIMAX GLOBAL PRIVATE LIMITED,"'Mumbai', ' Mumbai Suburban', 'Mumbai'",1-4 ,"'java', 'python', 'r', 'big data', 'artificial intelligence'",-1.0,1,4,2.5,0
1730,1884,1890,Multiple Roles For Data Scientist For A Leading MNC,Mississippi Consultants,"'Hyderabad', ' Pune', ' Chennai', 'Mumbai'",5-8 ,"'sql', 'it skills', 'python', 'machine learning', 'big data'",-1.0,5,8,6.5,0
1732,1886,1892,Senior Scientist/ NLP/ Machine Learning/ Data Mining Professional,Career Maker,'Bangalore',2-7 ,"'it skills', 'java', 'python', 'machine learning', 'r'",-1.0,2,7,4.5,0
1765,1922,1928,Senior Data Scientist,Visa,'Bangalore',4-9 ,"'it skills', 'java', 'python', 'data science', 'big data'",-1.0,4,9,6.5,0
1776,1933,1939,Senior Data Scientist,iNICU,'Delhi',1-5 ,"'it skills', 'java', 'python', 'machine learning', 'big data'",-1.0,1,5,3.0,0
1781,1940,1946,Senior Data Scientist,Birdeye,'Gurgaon',15-16 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,15,16,15.5,0
1801,1961,1967,Sr Professional - Data Scientist / Analytics,Sutherland Global Services Inc,'Hyderabad',3-8 ,"'it skills', 'python', 'big data'",-1.0,3,8,5.5,0
1863,2030,2036,Data Scientist: Artificial Intelligence,IBM,'Delhi',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
1864,2031,2037,Data Scientist: Artificial Intelligence,IBM,'Gurgaon',4-8 ,"'it skills', 'python', 'artificial intelligence', 'big data'",-1.0,4,8,6.0,0
1877,2045,2051,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'machine learning', 'python', 'it skills', 'java', 'big data'",-1.0,8,12,10.0,0
1878,2046,2052,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'machine learning', 'python', 'it skills', 'java', 'big data'",-1.0,8,12,10.0,0
1879,2047,2053,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,'Gurgaon',8-12 ,"'machine learning', 'python', 'it skills', 'java', 'big data'",-1.0,8,12,10.0,0
1911,2081,2087,Hiring Data Scientist || Hanu Software,Hanu Software Solutions,'Remote',13-21 ,"'machine learning', 'it skills', 'python', 'artificial intelligence', 'big data'",-1.0,13,21,17.0,0
1939,2112,2118,Senior Data Scientist,Microsoft,'Bangalore',8-10 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,8,10,9.0,0
1956,2129,2135,Senior Data Scientist,Razorpay,'Bangalore',4-6 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,4,6,5.0,0
1960,2133,2139,Sr. Data Scientist,NutaNXT Technologies,"'Pune', ' Bangalore', 'Mumbai'",5-8 ,"'python', 'it skills', 'machine learning', 'big data'",-1.0,5,8,6.5,0
1992,2167,2173,Sr. Data Scientist,Ideapoke,'Bengaluru',3-4 ,"'it skills', 'python', 'machine learning', 'artificial intelligence', 'big data', 'computer science'",-1.0,3,4,3.5,0
2091,2270,2276,Data Scientist,Efftronics Systems Pvt. Ltd.,'mangalagiri',5-10 ,"'python', 'java', 'it skills', 'computer science'",-1.0,5,10,7.5,0
2109,2288,2294,Data Scientist / Data Engineer,FISSION COMPUTER LABS PRIVATE LIMITED,'Hyderabad',6-10 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,6,10,8.0,0
2115,2294,2300,Senior Data Scientist,Finbots.AI,'Hyderabad',5-10 ,"'data science', 'machine learning', 'it skills', 'java', 'python', 'big data'",-1.0,5,10,7.5,0
2154,2336,2342,Senior Data Scientist,Oportun,'Chennai\n',3-8 ,"'python', 'it skills', 'machine learning', 'big data'",-1.0,3,8,5.5,0
2162,2345,2351,Data Scientist: Artificial Intelligence,IBM,'Bengaluru',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
2244,2431,2437,Data Scientist,Intuitor SoftTech Services Pvt. Ltd.,'Bengaluru',5-7 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,7,6.0,0
2249,2436,2442,Data Scientist,Xebia IT Architects,'Bengaluru',8-10 ,"'it skills', 'java', 'python', 'machine learning', 'big data'",-1.0,8,10,9.0,0
2284,2471,2477,Data Scientist,NovoTree Minds Consulting Pvt. Ltd.,'Bangalore',3-6 ,"'it skills', 'java', 'python', 'big data', 'r', 'data scientist'",-1.0,3,6,4.5,0
2285,2472,2478,Data Scientist,Tarento Technologies Pvt Ltd,'Bengaluru',6-10 ,"'it skills', 'python', 'machine learning', 'big data', 'computer science'",-1.0,6,10,8.0,0
2321,2511,2517,Data Scientist,Braintosoul Consulting,'Bengaluru',3-6 ,"'it skills', 'big data'",-1.0,3,6,4.5,0
2369,2572,2578,Principal & Sr.Data Scientist -4 To 12 yrs -Fintech/Credit Exp- python,BELL CURVE STRATEGIC CONSULTANCY PRIVATE LIMITED,"'Chennai', 'Bangalore'",5-10 ,"'machine learning', 'python', 'it skills', 'big data'",-1.0,5,10,7.5,0
2382,2587,2593,Data Scientist,Seven Consultancy,'Noida',2-5 ,"'java', 'python', 'it skills'",-1.0,2,5,3.5,0
2383,2590,2596,Data Scientist,Ank Aha Private Limited,'Delhi',2-7 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,2,7,4.5,0
2407,2618,2624,Principal Data Scientist (Big Data) – Spark/ Hadoop,Hire Resources,'Bangalore',5-10 ,"'it skills', 'python', 'machine learning', 'big data'",-1.0,5,10,7.5,0
2423,2635,2641,Data Scientist,Adecco India Private Limited,'Bangalore',3-6 ,"'machine learning', 'python', 'r', 'big data', 'it skills'",-1.0,3,6,4.5,0
2424,2637,2643,Data Scientist: Artificial Intelligence,IBM,'Hyderabad',4-7 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,4,7,5.5,0
2425,2638,2644,Data Scientist: Artificial Intelligence,IBM,'Hyderabad',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
2428,2642,2648,Data Scientist: Artificial Intelligence,IBM,'Mumbai',4-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,4,6,5.0,0
2432,2646,2652,Data Scientist: Artificial Intelligence,IBM,'Kolkata',2-6 ,"'it skills', 'java', 'python', 'artificial intelligence', 'big data'",-1.0,2,6,4.0,0
2435,2649,2655,Junior Data Scientist,Blackstraw,'Chennai',1-4 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,1,4,2.5,0
2498,2715,2721,Data Scientist,Click2Cloud Technology Services (I) Pvt. Ltd.,"'Nagpur', 'Hyderabad'",5-7 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'big data'",-1.0,5,7,6.0,0
2512,2729,2735,Data Scientist,Boppo Technologies Pvt. Ltd.,'Mumbai',1-3 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,1,3,2.0,0
2528,2746,2752,Data Scientist,Infobizzs Services,'Vadodara',2-5 ,"'it skills', 'java', 'python', 'computer science', 'machine learning'",-1.0,2,5,3.5,0
2557,2776,2782,Data Scientist,Scalable Systems,'bhubaneswar',4-7 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,4,7,5.5,0
2566,2788,2794,Data Scientist - Healthcare,Clovity,'Remote',8-13 ,"'big data', 'machine learning', 'it skills'",-1.0,8,13,10.5,0
2582,2806,2812,Data Scientist,Sybrant Data,'Chennai',2-4 ,"'machine learning', 'java', 'python', 'it skills'",-1.0,2,4,3.0,0
2591,2816,2822,Data Scientist,FogHorn,'Pune',4-8 ,"'it skills', 'java', 'python'",-1.0,4,8,6.0,0
2631,2862,2868,Data Scientist Lead/Manager - Python/Golang,RS Consultants,'Pune',8-13 ,"'python', 'it skills', 'java', 'data science', 'machine learning', 'big data'",-1.0,8,13,10.5,0
2646,2877,2883,Senior Data & Applied Scientist,Microsoft,'Bangalore',5-8 ,"'it skills', 'java', 'python', 'machine learning', 'big data', 'computer science'",-1.0,5,8,6.5,0
2668,2901,2907,Data Scientist,ANALYTICS SAVES AT WORK INDIA PRIVATE LIMITED,"'Hyderabad', ' Chennai', 'Bangalore'",3-8 ,"'machine learning', 'python', 'it skills', 'java', 'data science', 'big data'",-1.0,3,8,5.5,0
2670,2903,2909,Data Scientist,ScaleIn,'Bengaluru',4-9 ,"'it skills', 'java', 'python'",-1.0,4,9,6.5,0
2671,2904,2910,Data Scientist,Pega,'Bengaluru',6-11 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,6,11,8.5,0
2687,2922,2928,Data Scientist,ITOrizon,'Bangalore',2-4 ,"'it skills', 'java', 'python', 'machine learning'",-1.0,2,4,3.0,0
2697,2933,2939,Data Scientist,Fospe Software Pvt. Ltd,'Bengaluru',4-6 ,"'it skills', 'java', 'python', 'machine learning', 'computer science'",-1.0,4,6,5.0,0
2745,2981,2993,Machine Learning Data Science Practitioner,Accenture,'Bangalore',15-18 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'big data'",-1.0,15,18,16.5,0
2746,2982,2994,Machine Learning Data Science Practitioner,Accenture,'Bangalore',12-15 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'big data'",-1.0,12,15,13.5,0
