,Unnamed: 0,Unnamed: 0.1,roles,companies,locations,experience,skills,skill index,min_experience,max_experience,avg_experience,labels
197,211,217,Excellent opportunity For Data Scientist in Pune For a MNC,Peoplefy Infosolutions Pvt. Ltd.,'Pune',6-11 ,"'data science', 'python', 'machine learning', 'r', 'sql', 'it skills'",-1.0,6,11,8.5,2
203,218,224,Data & Applied Scientist Manager,Microsoft,'Bangalore',6-10 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence', 'big data', 'computer science'",-1.0,6,10,8.0,2
210,225,231,Data Scientist,Wcities,'Mumbai',3-6 ,"'machine learning', 'artificial intelligence', 'python', 'sql', 'it skills'",-1.0,3,6,4.5,2
214,229,235,Senior Data Scientist,Fractal Analytics,"'Gurgaon', ' Bangalore', 'Mumbai'",5-10 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence', 'r'",-1.0,5,10,7.5,2
218,233,239,Senior Data Scientist (CV+Python),TomTom,'Pune',5-9 ,"'it skills', 'python', 'data science', 'machine learning', 'big data'",-1.0,5,9,7.0,2
230,246,252,Data Scientist (NLP),Fractal Analytics,'Mumbai',2-4 ,"'it skills', 'java', 'python', 'machine learning', 'data science'",-1.0,2,4,3.0,2
232,249,255,Data Scientist - Computer Vision/NLP,TalentStack,'Mumbai',1-4 ,"'it skills', 'python', 'data science', 'machine learning', 'big data', 'data scientist'",-1.0,1,4,2.5,2
233,250,256,Data Scientist - Tensorflow/ Deep Learning,TalentStack,'Mumbai',1-4 ,"'python', 'it skills', 'data science', 'machine learning', 'big data'",-1.0,1,4,2.5,2
238,255,261,Data Scientist - Python/Power BI/SQL,Huquo Consulting Pvt. Ltd,'Mumbai',1-5 ,"'it skills', 'python', 'data science', 'r', 'data scientist'",-1.0,1,5,3.0,2
239,256,262,Data Scientist - Computer Vision/ NLP,TalentStack,'Mumbai',1-4 ,"'python', 'it skills', 'data science', 'machine learning', 'big data'",-1.0,1,4,2.5,2
240,257,263,Data Scientist - Power BI/Tableau,Huquo Consulting Pvt. Ltd,'Mumbai',2-7 ,"'python', 'it skills', 'data science', 'machine learning', 'r'",-1.0,2,7,4.5,2
244,261,267,Tech Lead - Data Scientist,ZF India Private Limited,'Hyderabad',4-7 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,4,7,5.5,2
249,266,272,Data Scientist,Orcapod Consulting Services Private Limited,"'Pune', 'Bangalore'",5-10 ,"'python', 'r', 'machine learning', 'it skills'",-1.0,5,10,7.5,2
250,267,273,Data Scientist,Orcapod Consulting Services Private Limited,"'Pune', 'Bangalore'",5-10 ,"'python', 'r', 'machine learning', 'it skills'",-1.0,5,10,7.5,2
251,268,274,Data Scientist,Acme Services,'Bangalore',5-8 ,"'it skills', 'python', 'machine learning'",-1.0,5,8,6.5,2
252,269,275,Data Scientist (freelance),2Coms,"'Bangalore', 'BangaloreNorth'",3-8 ,"'it skills', 'java', 'python', 'machine learning', 'data scientist'",-1.0,3,8,5.5,2
256,273,279,Data Scientist,Mobiotics IT Solution Pvt Ltd,'Bangalore',2-5 ,"'it skills', 'python', 'data science', 'big data'",-1.0,2,5,3.5,2
263,281,287,"Data Scientist, PHM",Raytheon Technologies,'Bangalore',10-15 ,"'it skills', 'python', 'machine learning'",-1.0,10,15,12.5,2
268,286,292,Data Scientist (freelance),2Coms,"'New Delhi', 'Delhi'",2-7 ,"'it skills', 'java', 'python', 'machine learning', 'data scientist'",-1.0,2,7,4.5,2
276,296,302,Principal Data Scientist - Machine Learning,Prime Infosoft,'Bangalore',4-9 ,"'machine learning', 'it skills', 'python', 'r'",-1.0,4,9,6.5,2
283,304,310,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"'r', 'machine learning', 'python', 'it skills', 'data science'",1.0,4,8,6.0,2
285,306,312,Data Scientist (freelance),2Coms,"'Chennai', 'Chennai'",3-8 ,"'it skills', 'java', 'python', 'machine learning', 'data scientist'",-1.0,3,8,5.5,2
294,316,322,Data Scientist - Growth and Marketing Data Team,Confluent,'Remote',2-6 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,2,6,4.0,2
296,318,324,Expert Data Scientist(NLP+ML+Python),TomTom,'Pune\n',8-12 ,"'it skills', 'python', 'data science', 'machine learning', 'big data'",-1.0,8,12,10.0,2
302,324,330,Data Scientist Associate/Analyst/Consultant,ONPASSIVE Technologies Pvt. Ltd,'Hyderabad',2-7 ,"'python', 'machine learning', 'it skills'",-1.0,2,7,4.5,2
318,343,349,ML Engineer/Data Scientist,Rapid Talent Solutions,"'Kolkata', ' Mumbai', ' Visakhapatnam', ' Hyderabad', ' Pune', ' Chennai', ' Ahmedabad', ' Delhi ', 'Bangalore'",6-11 ,"'python', 'it skills', 'data science', 'machine learning', 'big data'",-1.0,6,11,8.5,2
319,344,350,Junior Data Scientist with Python Expertise,India-Israel Innovation HUB-TeamScale- SATC Marketing India Pvt Ltd,'Gurgaon',2-7 ,"'python', 'machine learning', 'it skills', 'big data', 'data science'",-1.0,2,7,4.5,2
325,350,356,Data Scientist,2Coms,"'Bangalore', 'BangaloreNorth'",6-11 ,"'it skills', 'python', 'data scientist'",-1.0,6,11,8.5,2
327,352,358,Data scientist,CHANGE LEADERS CONSULTING,'Bangalore',3-7 ,"'python', 'artificial intelligence', 'machine learning', 'it skills'",-1.0,3,7,5.0,2
334,360,366,Data Scientist,Kofluence Tech Pvt Ltd,'Bangalore',3-5 ,"'python', 'r', 'java', 'sql', 'it skills', 'data science', 'machine learning'",-1.0,3,5,4.0,2
343,370,376,Data Scientist/ Sr. Data Scientist,Cosmic Strands ePublishing Pvt. Ltd.,'Bangalore',3-5 ,"'python', 'machine learning', 'it skills'",-1.0,3,5,4.0,2
344,371,377,Data Scientist/ Sr Data Scientist,Gartner,'Gurgaon',4-8 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence', 'computer science'",-1.0,4,8,6.0,2
349,376,382,Senior Data Scientist,Decision Point Analytics,"'Chennai', 'Gurgaon'",3-7 ,"'it skills', 'python', 'data science', 'machine learning', 'data scientist'",-1.0,3,7,5.0,2
352,379,385,Senior Data Scientist (Algorithmic Trading),TETHYS TECHNOLOGIES PRIVATE LIMITED,'Noida',4-10 ,"'it skills', 'python', 'machine learning'",-1.0,4,10,7.0,2
361,391,397,Data & Applied Scientist,Microsoft,'Hyderabad',3-7 ,"'it skills', 'python', 'machine learning', 'computer science'",-1.0,3,7,5.0,2
362,392,398,Digital Scientist - Data Science,ACIESIND PRIVATE LIMITED,'Remote',2-7 ,"'python', 'machine learning', 'sql', 'it skills', 'data science'",-1.0,2,7,4.5,2
363,393,399,Data & Applied Scientist 2,Microsoft,'Hyderabad',5-9 ,"'it skills', 'python', 'computer science', 'machine learning'",-1.0,5,9,7.0,2
371,401,407,Lead Data Scientist,First American,'Bangalore',9-14 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,9,14,11.5,2
373,403,409,Lead Data Scientist,Monotype,'Noida',8-10 ,"'it skills', 'python', 'data science', 'big data'",-1.0,8,10,9.0,2
377,407,413,Senior Data Scientist,Hexaware Technologies,"'Pune', ' Chennai', 'Mumbai'",9-12 ,"'machine learning', 'data science', 'python', 'it skills'",-1.0,9,12,10.5,2
395,426,432,Data Scientist,Tide Software,'Hyderabad',0-5 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,0,5,2.5,2
396,427,433,"Data Scientist,Pan India",IQM Corporation,'Remote',0-3 ,"'it skills', 'python', 'data science', 'machine learning', 'data scientist'",-1.0,0,3,1.5,2
405,436,442,Senior/Lead - Data Scientist (Supply Chain),o9 Solutions Management India Private Limited,'Bangalore',4-9 ,"'data science', 'machine learning', 'it skills', 'python'",-1.0,4,9,6.5,2
406,437,443,Data Scientist || Machine Learning Engineer || Deep Learning,Schlesinger Group,"'Noida', ' Gurgaon', 'Delhi'",3-6 ,"'it skills', 'python', 'data science', 'machine learning', 'r'",-1.0,3,6,4.5,2
412,444,450,Data Scientist: Advanced Analytics,IBM,'Bangalore',5-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,10,7.5,2
415,447,453,Principal Data Scientist,24 7 ai,'Bangalore',8-13 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'artificial intelligence', 'computer science'",-1.0,8,13,10.5,2
419,451,457,Data Scientist,Sony,'Bengaluru',4-9 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,4,9,6.5,2
428,464,470,Data Scientist - Deep Learning Solutions,Huquo Consulting Pvt. Ltd,"'Noida', ' Pune', ' Gurgaon', 'Bangalore'",1-6 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,1,6,3.5,2
430,466,472,Data Scientist - Spark/Python/Redshift,Career Infosystem,"'Kolkata', ' Mumbai', ' Hyderabad', ' Pune', ' Chennai', ' Ahmedabad', ' Bangalore', 'Delhi'",6-9 ,"'it skills', 'java', 'python', 'machine learning', 'data science', 'r'",-1.0,6,9,7.5,2
434,471,477,Data Scientist/Lead Data Scientist (Remote),NIFTEL COMMUNICATIONS PRIVATE LIMITED,"'Kolkata', ' Pune', ' Ahmedabad', ' Bangalore', ' Delhi ', 'Mumbai'",3-8 ,"'it skills', 'python', 'machine learning'",-1.0,3,8,5.5,2
446,483,489,Lead Data Scientist,Zinnov,'Pune',11-15 ,"'data science', 'it skills', 'python'",-1.0,11,15,13.0,2
463,502,508,Data Scientist / 0-15 Days,Synechron,'Bangalore',4-9 ,"'data science', 'machine learning', 'python', 'it skills'",-1.0,4,9,6.5,2
464,503,509,Consultant - Data scientist,Flexing It,"'New Delhi', 'Jaipur'",3-6 ,"'it skills', 'python', 'data science', 'data scientist'",-1.0,3,6,4.5,2
466,506,512,Data Scientist Openings with AT&T,AT&T,'Bangalore',10-15 ,"'data science', 'it skills', 'python', 'machine learning'",-1.0,10,15,12.5,2
475,515,521,"AM Data Scientist - Goods & Service Tax Network, Delhi",NISG (National Institute for Smart Government),'Delhi',3-8 ,"'it skills', 'java', 'python', 'machine learning', 'data scientist'",-1.0,3,8,5.5,2
478,518,524,Data Scientist,BrickRed Systems,'Noida',3-7 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,3,7,5.0,2
498,540,546,Data Scientist-Python Machine Learning,Jubna,"'Noida', 'NCR'",3-5 ,"'machine learning', 'it skills', 'python'",-1.0,3,5,4.0,2
515,558,564,Senior Data Scientist,Kyndryl,'Bangalore',10-15 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,10,15,12.5,2
519,562,568,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,'Bengaluru',7-9 ,"'it skills', 'python', 'data science', 'big data'",-1.0,7,9,8.0,2
521,564,570,Senior Data Scientist,Walmart,'Bangalore',5-9 ,"'it skills', 'python', 'data science', 'machine learning', 'big data'",-1.0,5,9,7.0,2
522,565,571,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,'Bengaluru',7-9 ,"'it skills', 'python', 'data science', 'big data'",-1.0,7,9,8.0,2
532,575,581,Senior Data Scientist,I5 Systems Private Limited,"'Hyderabad', ' Chennai', 'Bangalore'",2-7 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,2,7,4.5,2
534,577,583,Senior data scientist,Compile Inc,'Bangalore',5-10 ,"'python', 'r', 'it skills', 'data science', 'data scientist'",-1.0,5,10,7.5,2
553,597,603,Senior Data Scientist,Soroco India,'Bangalore',4-9 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence'",-1.0,4,9,6.5,2
556,601,607,"Senior Data Scientist- Python, SQL",Vmware,'Bangalore',6-10 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,6,10,8.0,2
557,602,608,Analyst Data Scientist,CAMSDATA TECHNOLOGIES INDIA PVT LTD,"'Mumbai', ' Hyderabad', ' Pune', ' Chennai', 'Bengaluru'",3-8 ,"'it skills', 'python', 'data science', 'machine learning', 'big data', 'computer science'",-1.0,3,8,5.5,2
563,608,614,"Senior Data Scientist, Product Analytics",Atlassian,'Bangalore',5-9 ,"'it skills', 'python', 'data science'",-1.0,5,9,7.0,2
564,609,615,Sr Data Scientist,krtrimaIQ AI Solutions,'Bengaluru',5-8 ,"'it skills', 'python', 'machine learning', 'computer science'",-1.0,5,8,6.5,2
574,619,625,Professional - Data Scientist / Analytics,Sutherland Global Services Inc,'Hyderabad',3-6 ,"'it skills', 'python', 'machine learning'",-1.0,3,6,4.5,2
578,624,630,Data Scientist (Python/ML),TCS,'Chennai',4-7 ,"'data science', 'machine learning', 'python', 'sql', 'it skills'",-1.0,4,7,5.5,2
580,626,632,Principal Data Scientist / Computer Vision Solution Architect,Cyient,'Hyderabad',12-15 ,"'machine learning', 'it skills', 'java', 'python', 'data science'",-1.0,12,15,13.5,2
581,627,633,Staff Specialist Data Scientist,BMC Software,'Maharashtra',2-7 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,2,7,4.5,2
591,637,643,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"'machine learning', 'it skills', 'python', 'data science'",-1.0,4,8,6.0,2
594,640,646,Data Scientist,First Employer,"'Gurgaon', 'Delhi'",4-8 ,"'r', 'python', 'it skills', 'data science', 'machine learning'",1.0,4,8,6.0,2
597,643,649,Data Scientist - Insurance - IIM/IIT/NIT,Huquo Consulting Pvt. Ltd,'Gurgaon',12-16 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,12,16,14.0,2
636,684,690,Data Scientist - Credit Risk,Scienaptic Systems,'Bangalore',3-8 ,"'it skills', 'python', 'machine learning'",-1.0,3,8,5.5,2
642,691,697,CoE - Data Scientist,Concentrix,'Bangalore',7-12 ,"'it skills', 'python', 'machine learning'",-1.0,7,12,9.5,2
645,694,700,Senior Data Scientist,Successr HR Tech PVT LTD,'Bangalore',5-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,10,7.5,2
646,695,701,"Lead / Sr. Data Scientist, Bangalore",Talent Bee Consulting Pvt. Ltd,'Bangalore',3-8 ,"'it skills', 'java', 'python', 'machine learning', 'r', 'data scientist'",-1.0,3,8,5.5,2
648,697,703,Senior Data Scientist,Successr HR Tech PVT LTD,'Bangalore',5-10 ,"'python', 'it skills', 'data science', 'machine learning'",-1.0,5,10,7.5,2
650,699,705,Senior Data Scientist,Successr HR Tech PVT LTD,'Bangalore',5-10 ,"'python', 'it skills', 'data science', 'machine learning'",-1.0,5,10,7.5,2
653,702,708,Sr Data Scientist,Successr HR Tech PVT LTD,'Bangalore',5-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,10,7.5,2
654,703,709,Senior/Lead Data Scientist - Machine Learning/Deep Learning,Squareroot Consulting Pvt Ltd,'Bangalore',1-5 ,"'machine learning', 'it skills', 'python', 'data science', 'data scientist', 'artificial intelligence'",-1.0,1,5,3.0,2
664,713,719,Data Scientist - Python/Tableau,Accubits Technologies,'Trivandrum',4-8 ,"'r', 'python', 'it skills', 'machine learning', 'data science'",1.0,4,8,6.0,2
672,721,727,Data Scientist Expert for AI/ML Project,Concentrix,'Gurgaon',2-7 ,"'it skills', 'python', 'machine learning'",-1.0,2,7,4.5,2
674,723,729,Junior/Senior Data scientist,Burgeon IT Services Pvt ltd,'Pune',3-8 ,"'machine learning', 'python', 'it skills'",-1.0,3,8,5.5,2
679,728,734,Associate Data Scientist,Optum,'Bangalore',5-10 ,"'sql', 'it skills', 'python', 'data science', 'machine learning'",-1.0,5,10,7.5,2
690,739,745,Sr. Cloud Data Scientist,Intuitive.Cloud,'Remote',3-5 ,"'sql', 'python', 'it skills', 'data science', 'machine learning'",-1.0,3,5,4.0,2
696,746,752,Senior Data Scientist,In2M Technologies Pvt Ltd,'Mumbai',5-10 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'computer science'",-1.0,5,10,7.5,2
707,757,763,Senior Data Scientist - AI Research,Persistent,'Pune',4-9 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence', 'computer science'",-1.0,4,9,6.5,2
713,763,769,Senior Data Scientist,Aera Technology,'Pune',5-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,10,7.5,2
714,764,770,Immediate Hiring / Senior Data Scientist,Cognome India Pvt. Ltd.,'Kolkata\n',3-8 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,3,8,5.5,2
718,769,775,Senior Data Scientist- Consulting,MAVEN WAVE PARTNERS (INDIA)PVT. LTD.,'Remote',3-5 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,3,5,4.0,2
721,772,778,Sr. Data Scientist,SoulPage IT,'Hyderabad',4-6 ,"'it skills', 'python', 'data science', 'machine learning', 'big data'",-1.0,4,6,5.0,2
732,784,790,Senior Data Scientist,Intellithink,'Chennai',2-5 ,"'r', 'sql', 'python', 'it skills', 'machine learning'",1.0,2,5,3.5,2
736,789,795,Sr Data Scientist,Microsoft,'Hyderabad',5-9 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,9,7.0,2
748,802,808,Data Scientist - Pre - Sales,Persistent,'Bangalore',2-3 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,2,3,2.5,2
749,803,809,Data scientist,IBM,'Bengaluru',4-7 ,"'it skills', 'python', 'machine learning'",-1.0,4,7,5.5,2
758,812,818,Lead Data Scientist,Joveo,'Hyderabad',3-8 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,3,8,5.5,2
759,813,819,Lead Data Scientist - KYC/Fraud Detection,Tide Software,'Hyderabad',5-7 ,"'it skills', 'python', 'machine learning', 'data science'",-1.0,5,7,6.0,2
762,816,822,Lead Data Scientist,Tide Software,'Hyderabad',5-7 ,"'it skills', 'python', 'machine learning', 'data scientist'",-1.0,5,7,6.0,2
768,822,828,Lead Data Scientist,DemandMatrix,'Pune',5-7 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,5,7,6.0,2
774,829,835,Lead Data Scientist,DeepQuanty Artificial Intelligence Labs,'Chennai',3-8 ,"'machine learning', 'python', 'it skills'",-1.0,3,8,5.5,2
776,832,838,Lead Data Scientist,Egnify Technologies,'Hyderabad',6-11 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,6,11,8.5,2
787,843,849,"Hiring For Data Scientist - Python, SQL, Power BI, ETL",HuQuo Consulting Pvt. Ltd.,'Delhi',4-9 ,"'it skills', 'python', 'machine learning', 'data science', 'r'",-1.0,4,9,6.5,2
789,845,851,Data scientist- Enterprise AI,Kyndryl,'Bangalore',2-3 ,"'it skills', 'java', 'python', 'data science', 'machine learning', 'artificial intelligence', 'computer science'",-1.0,2,3,2.5,2
791,847,853,Data Scientist,Bridgetree Research,'Bangalore',5-8 ,"'it skills', 'python', 'data science', 'machine learning', 'big data', 'artificial intelligence'",-1.0,5,8,6.5,2
797,853,859,Principal Data Scientist (MINT),Walmart,'Bangalore',15-18 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,15,18,16.5,2
798,854,860,Data Scientist,AutoCAD,'Bangalore',2-3 ,"'it skills', 'python', 'data science', 'machine learning', 'computer science'",-1.0,2,3,2.5,2
801,857,863,Principal Data Scientist,IHS Markit,'Bangalore',6-10 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,6,10,8.0,2
810,866,872,Data Scientist - AI ML Team,CustomerXPs Software Pvt Ltd,'Bengaluru',8-13 ,"'it skills', 'python', 'data science', 'machine learning', 'artificial intelligence', 'big data', 'computer science'",-1.0,8,13,10.5,2
817,873,879,Data Scientist -Graph Database SME,Kyndryl,'Bangalore',5-8 ,"'it skills', 'java', 'python', 'data science', 'machine learning'",-1.0,5,8,6.5,2
830,887,893,Data Scientist - (ML) (Commerce BU),Blue Yonder,'Bangalore',3-7 ,"'it skills', 'python', 'data science', 'machine learning', 'big data', 'computer science'",-1.0,3,7,5.0,2
838,895,901,Data Scientist,Diverse Lynx,'Bengaluru',2-8 ,"'it skills', 'python', 'data science', 'machine learning'",-1.0,2,8,5.0,2
840,897,903,Mandiant Data Scientist,Mandiant,'Bangalore',3-7 ,"'it skills', 'python', 'data science', 'machine learning', 'big data', 'computer science'",-1.0,3,7,5.0,2
